./city-generator.py         <nodes> <size^(1/2)> <degree> <mindistance> <trucks> <packages> <seed> 
./two-cities-generator.py   <nodes> <size^(1/2)> <degree> <mindistance> <trucks> <packages> <seed>
./three-cities-generator.py <nodes> <size^(1/2)> <degree> <mindistance> <trucks> <packages> <seed>
p207.pddl three-cities-generator.py 14 1000 3 100 2 9 2
p208.pddl three-cities-generator.py 15 1000 3 100 2 2 1
p209.pddl three-cities-generator.py 15 1000 3 100 2 2 2
p210.pddl three-cities-generator.py 15 1000 3 100 2 3 1
p211.pddl three-cities-generator.py 15 1000 3 100 2 3 2
p212.pddl three-cities-generator.py 15 1000 3 100 2 4 1
p213.pddl three-cities-generator.py 15 1000 3 100 2 4 2
p214.pddl three-cities-generator.py 15 1000 3 100 2 5 1
p215.pddl three-cities-generator.py 15 1000 3 100 2 5 2
p216.pddl three-cities-generator.py 15 1000 3 100 2 6 1
p217.pddl three-cities-generator.py 15 1000 3 100 2 6 2
p218.pddl three-cities-generator.py 15 1000 3 100 2 7 1
p219.pddl three-cities-generator.py 15 1000 3 100 2 7 2
p220.pddl three-cities-generator.py 15 1000 3 100 2 8 1
p221.pddl three-cities-generator.py 15 1000 3 100 2 8 2
p222.pddl three-cities-generator.py 15 1000 3 100 2 9 1
p223.pddl three-cities-generator.py 15 1000 3 100 2 9 2
p224.pddl three-cities-generator.py 16 1000 3 100 2 2 1
p225.pddl three-cities-generator.py 16 1000 3 100 2 2 2
p226.pddl three-cities-generator.py 16 1000 3 100 2 3 1
p227.pddl three-cities-generator.py 16 1000 3 100 2 3 2
p228.pddl three-cities-generator.py 16 1000 3 100 2 4 1
p229.pddl three-cities-generator.py 16 1000 3 100 2 4 2
p230.pddl three-cities-generator.py 16 1000 3 100 2 5 1
p231.pddl three-cities-generator.py 16 1000 3 100 2 5 2
p232.pddl three-cities-generator.py 16 1000 3 100 2 6 1
p233.pddl three-cities-generator.py 16 1000 3 100 2 6 2
p234.pddl three-cities-generator.py 16 1000 3 100 2 7 1
p235.pddl three-cities-generator.py 16 1000 3 100 2 7 2
p236.pddl three-cities-generator.py 16 1000 3 100 2 8 1
p237.pddl three-cities-generator.py 16 1000 3 100 2 8 2
p238.pddl three-cities-generator.py 16 1000 3 100 2 9 1
p239.pddl three-cities-generator.py 16 1000 3 100 2 9 2
p240.pddl three-cities-generator.py 17 1000 3 100 2 2 1
p241.pddl three-cities-generator.py 17 1000 3 100 2 2 2
p242.pddl three-cities-generator.py 17 1000 3 100 2 3 1
p243.pddl three-cities-generator.py 17 1000 3 100 2 3 2
p244.pddl three-cities-generator.py 17 1000 3 100 2 4 1
p245.pddl three-cities-generator.py 17 1000 3 100 2 4 2
p246.pddl three-cities-generator.py 17 1000 3 100 2 5 1
p247.pddl three-cities-generator.py 17 1000 3 100 2 5 2
p248.pddl three-cities-generator.py 17 1000 3 100 2 6 1
p249.pddl three-cities-generator.py 17 1000 3 100 2 6 2
p250.pddl three-cities-generator.py 17 1000 3 100 2 7 1
p251.pddl three-cities-generator.py 17 1000 3 100 2 7 2
p252.pddl three-cities-generator.py 17 1000 3 100 2 8 1
p253.pddl three-cities-generator.py 17 1000 3 100 2 8 2
p254.pddl three-cities-generator.py 17 1000 3 100 2 9 1
p255.pddl three-cities-generator.py 17 1000 3 100 2 9 2
p256.pddl three-cities-generator.py 18 1000 3 100 2 2 1
p257.pddl three-cities-generator.py 18 1000 3 100 2 2 2
p258.pddl three-cities-generator.py 18 1000 3 100 2 3 1
p259.pddl three-cities-generator.py 18 1000 3 100 2 3 2
p260.pddl three-cities-generator.py 18 1000 3 100 2 4 1
p261.pddl three-cities-generator.py 18 1000 3 100 2 4 2
p262.pddl three-cities-generator.py 18 1000 3 100 2 5 1
p263.pddl three-cities-generator.py 18 1000 3 100 2 5 2
p264.pddl three-cities-generator.py 18 1000 3 100 2 6 1
p265.pddl three-cities-generator.py 18 1000 3 100 2 6 2
p266.pddl three-cities-generator.py 18 1000 3 100 2 7 1
p267.pddl three-cities-generator.py 18 1000 3 100 2 7 2
p268.pddl three-cities-generator.py 18 1000 3 100 2 8 1
p269.pddl three-cities-generator.py 18 1000 3 100 2 8 2
p270.pddl three-cities-generator.py 18 1000 3 100 2 9 1
p271.pddl three-cities-generator.py 18 1000 3 100 2 9 2
p272.pddl three-cities-generator.py 19 1000 3 100 2 2 1
p273.pddl three-cities-generator.py 19 1000 3 100 2 2 2
p274.pddl three-cities-generator.py 19 1000 3 100 2 3 1
p275.pddl three-cities-generator.py 19 1000 3 100 2 3 2
p276.pddl three-cities-generator.py 19 1000 3 100 2 4 1
p277.pddl three-cities-generator.py 19 1000 3 100 2 4 2
p278.pddl three-cities-generator.py 19 1000 3 100 2 5 1
p279.pddl three-cities-generator.py 19 1000 3 100 2 5 2
p280.pddl three-cities-generator.py 19 1000 3 100 2 6 1
p281.pddl three-cities-generator.py 19 1000 3 100 2 6 2
p282.pddl three-cities-generator.py 19 1000 3 100 2 7 1
p283.pddl three-cities-generator.py 19 1000 3 100 2 7 2
p284.pddl three-cities-generator.py 19 1000 3 100 2 8 1
p285.pddl three-cities-generator.py 19 1000 3 100 2 8 2
p286.pddl three-cities-generator.py 19 1000 3 100 2 9 1
p287.pddl three-cities-generator.py 19 1000 3 100 2 9 2
p288.pddl three-cities-generator.py 20 1000 3 100 2 2 1
p289.pddl three-cities-generator.py 20 1000 3 100 2 2 2
p290.pddl three-cities-generator.py 20 1000 3 100 2 3 1
p291.pddl three-cities-generator.py 20 1000 3 100 2 3 2
p292.pddl three-cities-generator.py 20 1000 3 100 2 4 1
p293.pddl three-cities-generator.py 20 1000 3 100 2 4 2
p294.pddl three-cities-generator.py 20 1000 3 100 2 5 1
p295.pddl three-cities-generator.py 20 1000 3 100 2 5 2
p296.pddl three-cities-generator.py 20 1000 3 100 2 6 1
p297.pddl three-cities-generator.py 20 1000 3 100 2 6 2
p298.pddl three-cities-generator.py 20 1000 3 100 2 7 1
p299.pddl three-cities-generator.py 20 1000 3 100 2 7 2
p300.pddl three-cities-generator.py 20 1000 3 100 2 8 1
p301.pddl three-cities-generator.py 20 1000 3 100 2 8 2
p302.pddl three-cities-generator.py 20 1000 3 100 2 9 1
p303.pddl three-cities-generator.py 20 1000 3 100 2 9 2
p304.pddl three-cities-generator.py 21 1000 3 100 2 2 1
p305.pddl three-cities-generator.py 21 1000 3 100 2 2 2
p306.pddl three-cities-generator.py 21 1000 3 100 2 3 1
p307.pddl three-cities-generator.py 21 1000 3 100 2 3 2
p308.pddl three-cities-generator.py 21 1000 3 100 2 4 1
p309.pddl three-cities-generator.py 21 1000 3 100 2 4 2
p310.pddl three-cities-generator.py 21 1000 3 100 2 5 1
p311.pddl three-cities-generator.py 21 1000 3 100 2 5 2
p312.pddl three-cities-generator.py 21 1000 3 100 2 6 1
p313.pddl three-cities-generator.py 21 1000 3 100 2 6 2
p314.pddl three-cities-generator.py 21 1000 3 100 2 7 1
p315.pddl three-cities-generator.py 21 1000 3 100 2 7 2
p316.pddl three-cities-generator.py 21 1000 3 100 2 8 1
p317.pddl three-cities-generator.py 21 1000 3 100 2 8 2
p318.pddl three-cities-generator.py 21 1000 3 100 2 9 1
p319.pddl three-cities-generator.py 21 1000 3 100 2 9 2
p320.pddl three-cities-generator.py 22 1000 3 100 2 2 1
p321.pddl three-cities-generator.py 22 1000 3 100 2 2 2
p322.pddl three-cities-generator.py 22 1000 3 100 2 3 1
p323.pddl three-cities-generator.py 22 1000 3 100 2 3 2
p324.pddl three-cities-generator.py 22 1000 3 100 2 4 1
p325.pddl three-cities-generator.py 22 1000 3 100 2 4 2
p326.pddl three-cities-generator.py 22 1000 3 100 2 5 1
p327.pddl three-cities-generator.py 22 1000 3 100 2 5 2
p328.pddl three-cities-generator.py 22 1000 3 100 2 6 1
p329.pddl three-cities-generator.py 22 1000 3 100 2 6 2
p330.pddl three-cities-generator.py 22 1000 3 100 2 7 1
p331.pddl three-cities-generator.py 22 1000 3 100 2 7 2
p332.pddl three-cities-generator.py 22 1000 3 100 2 8 1
p333.pddl three-cities-generator.py 22 1000 3 100 2 8 2
p334.pddl three-cities-generator.py 22 1000 3 100 2 9 1
p335.pddl three-cities-generator.py 22 1000 3 100 2 9 2
p336.pddl two-cities-generator.py 5 1000 4 100 2 3 1
p337.pddl two-cities-generator.py 5 1000 4 100 2 3 2
p338.pddl two-cities-generator.py 5 1000 4 100 3 3 1
p339.pddl two-cities-generator.py 5 1000 4 100 3 3 2
p340.pddl two-cities-generator.py 5 1000 4 100 2 4 1
p341.pddl two-cities-generator.py 5 1000 4 100 2 4 2
p342.pddl two-cities-generator.py 5 1000 4 100 3 4 1
p343.pddl two-cities-generator.py 5 1000 4 100 3 4 2
p344.pddl two-cities-generator.py 5 1000 4 100 2 5 1
p345.pddl two-cities-generator.py 5 1000 4 100 2 5 2
p346.pddl two-cities-generator.py 5 1000 4 100 3 5 1
p347.pddl two-cities-generator.py 5 1000 4 100 3 5 2
p348.pddl two-cities-generator.py 5 1000 4 100 2 6 1
p349.pddl two-cities-generator.py 5 1000 4 100 2 6 2
p350.pddl two-cities-generator.py 5 1000 4 100 3 6 1
p351.pddl two-cities-generator.py 5 1000 4 100 3 6 2
p352.pddl two-cities-generator.py 5 1000 4 100 2 7 1
p353.pddl two-cities-generator.py 5 1000 4 100 2 7 2
p354.pddl two-cities-generator.py 5 1000 4 100 3 7 1
p355.pddl two-cities-generator.py 5 1000 4 100 3 7 2
p356.pddl two-cities-generator.py 5 1000 4 100 2 8 1
p357.pddl two-cities-generator.py 5 1000 4 100 2 8 2
p358.pddl two-cities-generator.py 5 1000 4 100 3 8 1
p359.pddl two-cities-generator.py 5 1000 4 100 3 8 2
p360.pddl two-cities-generator.py 5 1000 4 100 2 9 1
p361.pddl two-cities-generator.py 5 1000 4 100 2 9 2
p362.pddl two-cities-generator.py 5 1000 4 100 3 9 1
p363.pddl two-cities-generator.py 5 1000 4 100 3 9 2
p364.pddl city-generator.py 5 1000 5 100 2 5 1
p365.pddl city-generator.py 5 1000 5 100 2 5 2
p366.pddl city-generator.py 5 1000 5 100 2 6 1
p367.pddl city-generator.py 5 1000 5 100 2 6 2
p368.pddl city-generator.py 5 1000 5 100 2 7 1
p369.pddl city-generator.py 5 1000 5 100 2 7 2
p370.pddl city-generator.py 5 1000 5 100 2 8 1
p371.pddl city-generator.py 5 1000 5 100 2 8 2
p372.pddl city-generator.py 5 1000 5 100 2 9 1
p373.pddl city-generator.py 5 1000 5 100 2 9 2
p374.pddl city-generator.py 5 1000 5 100 2 10 1
p375.pddl city-generator.py 5 1000 5 100 2 10 2
p376.pddl city-generator.py 5 1000 5 100 2 11 1
p377.pddl city-generator.py 5 1000 5 100 2 11 2
p378.pddl city-generator.py 5 1000 5 100 2 12 1
p379.pddl city-generator.py 5 1000 5 100 2 12 2
p380.pddl city-generator.py 5 1000 5 100 2 13 1
p381.pddl city-generator.py 5 1000 5 100 2 13 2
p382.pddl city-generator.py 5 1000 5 100 2 14 1
p383.pddl city-generator.py 5 1000 5 100 2 14 2
p384.pddl city-generator.py 5 1000 5 100 2 15 1
p385.pddl city-generator.py 5 1000 5 100 2 15 2
p386.pddl city-generator.py 5 1000 3 100 2 7 1
p387.pddl city-generator.py 5 1000 3 100 2 7 2
p388.pddl city-generator.py 5 1000 3 100 2 8 1
p389.pddl city-generator.py 5 1000 3 100 2 8 2
p390.pddl city-generator.py 5 1000 3 100 2 9 1
p391.pddl city-generator.py 5 1000 3 100 2 9 2
p392.pddl city-generator.py 5 1000 3 100 2 10 1
p393.pddl city-generator.py 5 1000 3 100 2 10 2
p394.pddl city-generator.py 5 1000 3 100 2 11 1
p395.pddl city-generator.py 5 1000 3 100 2 11 2
p396.pddl city-generator.py 5 1000 3 100 2 12 1
p397.pddl city-generator.py 5 1000 3 100 2 12 2
p398.pddl city-generator.py 5 1000 3 100 2 13 1
p399.pddl city-generator.py 5 1000 3 100 2 13 2
p400.pddl city-generator.py 5 1000 3 100 2 14 1
p401.pddl city-generator.py 5 1000 3 100 2 14 2
