./blocksworld <ops> <num>
p220.pddl 4 24
p221.pddl 4 25
p222.pddl 4 26
p223.pddl 4 27
p224.pddl 4 28
p225.pddl 4 29
p226.pddl 4 30
p227.pddl 4 31
p228.pddl 4 32
p229.pddl 4 33
p230.pddl 4 34
p231.pddl 4 35
p232.pddl 4 36
p233.pddl 4 37
p234.pddl 4 38
p235.pddl 4 39
p236.pddl 4 40
p237.pddl 4 41
p238.pddl 4 42
p239.pddl 4 43
p240.pddl 4 44
p241.pddl 4 45
p242.pddl 4 46
p243.pddl 4 47
p244.pddl 4 48
p245.pddl 4 49
p246.pddl 4 50
p247.pddl 4 51
p248.pddl 4 52
p249.pddl 4 53
p250.pddl 4 54
p251.pddl 4 55
p252.pddl 4 56
p253.pddl 4 57
p254.pddl 4 58
p255.pddl 4 59
p256.pddl 4 60
p257.pddl 4 61
p258.pddl 4 62
p259.pddl 4 63
p260.pddl 4 64
p261.pddl 4 65
p262.pddl 4 66
p263.pddl 4 67
p264.pddl 4 68
p265.pddl 4 69
p266.pddl 4 70
p267.pddl 4 71
p268.pddl 4 72
p269.pddl 4 73
p270.pddl 4 74
p271.pddl 4 75
p272.pddl 4 76
p273.pddl 4 77
p274.pddl 4 78
p275.pddl 4 79
p276.pddl 4 80
p277.pddl 4 81
p278.pddl 4 82
p279.pddl 4 83
p280.pddl 4 84
p281.pddl 4 85
p282.pddl 4 86
p283.pddl 4 87
p284.pddl 4 88
p285.pddl 4 89
p286.pddl 4 90
p287.pddl 4 91
p288.pddl 4 92
p289.pddl 4 93
p290.pddl 4 94
p291.pddl 4 95
p292.pddl 4 96
p293.pddl 4 97
p294.pddl 4 98
p295.pddl 4 99
p296.pddl 4 100
p297.pddl 4 101
p298.pddl 4 102
p299.pddl 4 103
p300.pddl 4 104
p301.pddl 4 105
p302.pddl 4 106
p303.pddl 4 107
p304.pddl 4 108
p305.pddl 4 109
p306.pddl 4 110
p307.pddl 4 111
p308.pddl 4 112
p309.pddl 4 113
p310.pddl 4 114
p311.pddl 4 115
p312.pddl 4 116
p313.pddl 4 117
p314.pddl 4 118
p315.pddl 4 119
p316.pddl 4 120
p317.pddl 4 121
p318.pddl 4 122
p319.pddl 4 123
p320.pddl 4 124
p321.pddl 4 125
p322.pddl 4 126
p323.pddl 4 127
p324.pddl 4 128
p325.pddl 4 129
p326.pddl 4 130
p327.pddl 4 131
p328.pddl 4 132
p329.pddl 4 133
p330.pddl 4 134
p331.pddl 4 135
p332.pddl 4 136
p333.pddl 4 137
p334.pddl 4 138
p335.pddl 4 139
p336.pddl 4 140
p337.pddl 4 141
p338.pddl 4 142
p339.pddl 4 143
p340.pddl 4 144
p341.pddl 4 145
p342.pddl 4 146
p343.pddl 4 147
p344.pddl 4 148
p345.pddl 4 149
p346.pddl 4 150
p347.pddl 4 151
p348.pddl 4 152
p349.pddl 4 153
p350.pddl 4 154
p351.pddl 4 155
p352.pddl 4 156
p353.pddl 4 157
p354.pddl 4 158
p355.pddl 4 159
p356.pddl 4 160
p357.pddl 4 161
p358.pddl 4 162
p359.pddl 4 163
p360.pddl 4 164
p361.pddl 4 165
p362.pddl 4 166
p363.pddl 4 167
p364.pddl 4 168
p365.pddl 4 169
p366.pddl 4 170
p367.pddl 4 171
p368.pddl 4 172
p369.pddl 4 173
p370.pddl 4 174
p371.pddl 4 175
p372.pddl 4 176
p373.pddl 4 177
p374.pddl 4 178
p375.pddl 4 179
p376.pddl 4 180
p377.pddl 4 181
p378.pddl 4 182
p379.pddl 4 183
p380.pddl 4 184
p381.pddl 4 185
p382.pddl 4 186
p383.pddl 4 187
p384.pddl 4 188
p385.pddl 4 189
p386.pddl 4 190
p387.pddl 4 191
p388.pddl 4 192
p389.pddl 4 193
p390.pddl 4 194
p391.pddl 4 195
p392.pddl 4 196
p393.pddl 4 197
p394.pddl 4 198
p395.pddl 4 199
