barman-generator.py <num_cocktails> <num_ingredients> <num_shots> [<random_seed>]
p141.pddl 32 3 34 1
p142.pddl 33 3 38 1
p143.pddl 33 3 36 1
p144.pddl 34 3 39 1
p145.pddl 34 3 38 1
p146.pddl 35 3 40 1
p147.pddl 35 3 38 1
p148.pddl 36 3 40 1
p149.pddl 36 3 38 1
p150.pddl 37 3 38 1
p151.pddl 37 3 41 1
p152.pddl 38 3 42 1
p153.pddl 38 3 40 1
p154.pddl 39 3 40 1
p155.pddl 39 3 44 1
p156.pddl 1 4 4 1
p157.pddl 1 4 6 1
p158.pddl 2 4 6 1
p159.pddl 2 4 5 1
p160.pddl 3 4 5 1
p161.pddl 3 4 4 1
p162.pddl 4 4 9 1
p163.pddl 4 4 7 1
p164.pddl 5 4 6 1
p165.pddl 5 4 10 1
p166.pddl 6 4 8 1
p167.pddl 6 4 11 1
p168.pddl 7 4 10 1
p169.pddl 7 4 12 1
p170.pddl 8 4 11 1
p171.pddl 8 4 12 1
p172.pddl 9 4 10 1
p173.pddl 9 4 11 1
p174.pddl 10 4 12 1
p175.pddl 10 4 14 1
p176.pddl 11 4 16 1
p177.pddl 11 4 13 1
p178.pddl 12 4 16 1
p179.pddl 12 4 17 1
p180.pddl 13 4 14 1
p181.pddl 13 4 17 1
p182.pddl 14 4 17 1
p183.pddl 14 4 19 1
p184.pddl 15 4 19 1
p185.pddl 15 4 20 1
p186.pddl 16 4 17 1
p187.pddl 16 4 19 1
p188.pddl 17 4 19 1
p189.pddl 17 4 18 1
p190.pddl 18 4 22 1
p191.pddl 18 4 23 1
p192.pddl 19 4 23 1
p193.pddl 19 4 24 1
p194.pddl 20 4 21 1
p195.pddl 20 4 22 1
p196.pddl 21 4 22 1
p197.pddl 21 4 23 1
p198.pddl 22 4 26 1
p199.pddl 22 4 27 1
p200.pddl 23 4 24 1
p201.pddl 23 4 26 1
p202.pddl 24 4 26 1
p203.pddl 24 4 28 1
p204.pddl 25 4 27 1
p205.pddl 25 4 26 1
p206.pddl 26 4 28 1
p207.pddl 26 4 30 1
p208.pddl 27 4 32 1
p209.pddl 27 4 31 1
p210.pddl 28 4 30 1
p211.pddl 28 4 31 1
p212.pddl 29 4 34 1
p213.pddl 29 4 31 1
p214.pddl 30 4 32 1
p215.pddl 30 4 34 1
p216.pddl 31 4 33 1
p217.pddl 31 4 34 1
p218.pddl 32 4 36 1
p219.pddl 32 4 37 1
p220.pddl 33 4 34 1
p221.pddl 33 4 36 1
p222.pddl 34 4 39 1
p223.pddl 34 4 35 1
p224.pddl 35 4 37 1
p225.pddl 35 4 39 1
p226.pddl 36 4 39 1
p227.pddl 36 4 40 1
p228.pddl 37 4 38 1
p229.pddl 37 4 40 1
p230.pddl 38 4 42 1
p231.pddl 38 4 40 1
p232.pddl 39 4 41 1
p233.pddl 39 4 40 1
p234.pddl 1 5 4 1
p235.pddl 1 5 6 1
p236.pddl 2 5 5 1
p237.pddl 2 5 4 1
p238.pddl 3 5 7 1
p239.pddl 3 5 8 1
p240.pddl 4 5 6 1
p241.pddl 4 5 8 1
p242.pddl 5 5 7 1
p243.pddl 5 5 8 1
p244.pddl 6 5 8 1
p245.pddl 6 5 7 1
p246.pddl 7 5 9 1
p247.pddl 7 5 10 1
p248.pddl 8 5 13 1
p249.pddl 8 5 12 1
p250.pddl 9 5 13 1
p251.pddl 9 5 10 1
p252.pddl 10 5 13 1
p253.pddl 10 5 15 1
p254.pddl 11 5 12 1
p255.pddl 11 5 16 1
p256.pddl 12 5 13 1
p257.pddl 12 5 16 1
p258.pddl 13 5 16 1
p259.pddl 13 5 15 1
p260.pddl 14 5 18 1
p261.pddl 14 5 15 1
p262.pddl 15 5 18 1
p263.pddl 15 5 17 1
p264.pddl 16 5 21 1
p265.pddl 16 5 20 1
p266.pddl 17 5 19 1
p267.pddl 17 5 18 1
p268.pddl 18 5 19 1
p269.pddl 18 5 23 1
p270.pddl 19 5 20 1
p271.pddl 19 5 23 1
p272.pddl 20 5 21 1
p273.pddl 20 5 22 1
p274.pddl 21 5 25 1
p275.pddl 21 5 22 1
p276.pddl 22 5 24 1
p277.pddl 22 5 26 1
p278.pddl 23 5 28 1
p279.pddl 23 5 24 1
p280.pddl 24 5 27 1
p281.pddl 24 5 28 1
p282.pddl 25 5 29 1
p283.pddl 25 5 26 1
p284.pddl 26 5 27 1
p285.pddl 26 5 30 1
p286.pddl 27 5 32 1
p287.pddl 27 5 29 1
p288.pddl 28 5 32 1
p289.pddl 28 5 29 1
p290.pddl 29 5 31 1
p291.pddl 29 5 33 1
p292.pddl 30 5 35 1
p293.pddl 30 5 33 1
p294.pddl 31 5 32 1
p295.pddl 31 5 34 1
p296.pddl 32 5 34 1
p297.pddl 32 5 33 1
p298.pddl 33 5 37 1
p299.pddl 33 5 38 1
p300.pddl 34 5 38 1
p301.pddl 34 5 36 1
p302.pddl 35 5 38 1
p303.pddl 35 5 37 1
p304.pddl 36 5 37 1
p305.pddl 36 5 39 1
p306.pddl 37 5 38 1
p307.pddl 37 5 41 1
p308.pddl 38 5 39 1
p309.pddl 38 5 43 1
p310.pddl 39 5 41 1
p311.pddl 39 5 40 1
p312.pddl 1 6 3 1
p313.pddl 1 6 2 1
p314.pddl 2 6 7 1
p315.pddl 2 6 6 1
p316.pddl 3 6 5 1
p317.pddl 3 6 7 1
p318.pddl 4 6 7 1
p319.pddl 4 6 8 1
p320.pddl 5 6 7 1
p321.pddl 5 6 6 1
p322.pddl 6 6 8 1
p323.pddl 6 6 7 1
p324.pddl 7 6 12 1
p325.pddl 7 6 8 1
p326.pddl 8 6 10 1
p327.pddl 8 6 9 1
p328.pddl 9 6 14 1
p329.pddl 9 6 13 1
p330.pddl 10 6 11 1
p331.pddl 10 6 13 1
p332.pddl 11 6 14 1
p333.pddl 11 6 16 1
p334.pddl 12 6 17 1
p335.pddl 12 6 15 1
p336.pddl 13 6 14 1
p337.pddl 13 6 17 1
p338.pddl 14 6 19 1
p339.pddl 14 6 15 1
p340.pddl 15 6 20 1
p341.pddl 15 6 19 1
p342.pddl 16 6 21 1
p343.pddl 16 6 18 1
p344.pddl 17 6 21 1
p345.pddl 17 6 19 1
p346.pddl 18 6 23 1
p347.pddl 18 6 19 1
p348.pddl 19 6 24 1
p349.pddl 19 6 20 1
p350.pddl 20 6 21 1
p351.pddl 20 6 25 1
p352.pddl 21 6 25 1
p353.pddl 21 6 23 1
p354.pddl 22 6 24 1
p355.pddl 22 6 26 1
p356.pddl 23 6 25 1
p357.pddl 23 6 27 1
p358.pddl 24 6 28 1
p359.pddl 24 6 27 1
p360.pddl 25 6 26 1
p361.pddl 25 6 28 1
p362.pddl 26 6 27 1
p363.pddl 26 6 30 1
p364.pddl 27 6 32 1
p365.pddl 27 6 29 1
p366.pddl 28 6 30 1
p367.pddl 28 6 31 1
p368.pddl 29 6 33 1
p369.pddl 29 6 34 1
p370.pddl 30 6 35 1
p371.pddl 30 6 31 1
p372.pddl 31 6 32 1
p373.pddl 31 6 35 1
p374.pddl 32 6 33 1
p375.pddl 32 6 36 1
p376.pddl 33 6 35 1
p377.pddl 33 6 34 1
p378.pddl 34 6 37 1
p379.pddl 34 6 38 1
p380.pddl 35 6 38 1
p381.pddl 35 6 40 1
p382.pddl 36 6 37 1
p383.pddl 36 6 39 1
p384.pddl 37 6 39 1
p385.pddl 37 6 42 1
p386.pddl 38 6 43 1
p387.pddl 38 6 41 1
p388.pddl 39 6 42 1
p389.pddl 39 6 44 1
