usage: ./gripper -n <#balls>
p0.pddl, -n 2
p99.pddl, -n 101
p100.pddl, -n 102
p101.pddl, -n 103
p102.pddl, -n 104
p103.pddl, -n 105
p104.pddl, -n 106
p105.pddl, -n 107
p106.pddl, -n 108
p107.pddl, -n 109
p108.pddl, -n 110
p109.pddl, -n 111
p110.pddl, -n 112
p111.pddl, -n 113
p112.pddl, -n 114
p113.pddl, -n 115
p114.pddl, -n 116
p115.pddl, -n 117
p116.pddl, -n 118
p117.pddl, -n 119
p118.pddl, -n 120
p119.pddl, -n 121
p120.pddl, -n 122
p121.pddl, -n 123
p122.pddl, -n 124
p123.pddl, -n 125
p124.pddl, -n 126
p125.pddl, -n 127
p126.pddl, -n 128
p127.pddl, -n 129
p128.pddl, -n 130
p129.pddl, -n 131
p130.pddl, -n 132
p131.pddl, -n 133
p132.pddl, -n 134
p133.pddl, -n 135
p134.pddl, -n 136
p135.pddl, -n 137
p136.pddl, -n 138
p137.pddl, -n 139
p138.pddl, -n 140
p139.pddl, -n 141
p140.pddl, -n 142
p141.pddl, -n 143
p142.pddl, -n 144
p143.pddl, -n 145
p144.pddl, -n 146
p145.pddl, -n 147
p146.pddl, -n 148
p147.pddl, -n 149
p148.pddl, -n 150
p149.pddl, -n 151
p150.pddl, -n 152
p151.pddl, -n 153
p152.pddl, -n 154
p153.pddl, -n 155
p154.pddl, -n 156
p155.pddl, -n 157
p156.pddl, -n 158
p157.pddl, -n 159
p158.pddl, -n 160
p159.pddl, -n 161
p160.pddl, -n 162
p161.pddl, -n 163
p162.pddl, -n 164
p163.pddl, -n 165
p164.pddl, -n 166
p165.pddl, -n 167
p166.pddl, -n 168
p167.pddl, -n 169
p168.pddl, -n 170
p169.pddl, -n 171
p170.pddl, -n 172
p171.pddl, -n 173
p172.pddl, -n 174
p173.pddl, -n 175
p174.pddl, -n 176
p175.pddl, -n 177
p176.pddl, -n 178
p177.pddl, -n 179
p178.pddl, -n 180
p179.pddl, -n 181
p180.pddl, -n 182
p181.pddl, -n 183
p182.pddl, -n 184
p183.pddl, -n 185
p184.pddl, -n 186
p185.pddl, -n 187
p186.pddl, -n 188
p187.pddl, -n 189
p188.pddl, -n 190
p189.pddl, -n 191
p190.pddl, -n 192
p191.pddl, -n 193
p192.pddl, -n 194
p193.pddl, -n 195
p194.pddl, -n 196
p195.pddl, -n 197
p196.pddl, -n 198
p197.pddl, -n 199
p198.pddl, -n 200
p199.pddl, -n 201
p200.pddl, -n 202
p201.pddl, -n 203
p202.pddl, -n 204
p203.pddl, -n 205
p204.pddl, -n 206
p205.pddl, -n 207
p206.pddl, -n 208
p207.pddl, -n 209
p208.pddl, -n 210
p209.pddl, -n 211
p210.pddl, -n 212
p211.pddl, -n 213
p212.pddl, -n 214
p213.pddl, -n 215
p214.pddl, -n 216
p215.pddl, -n 217
p216.pddl, -n 218
p217.pddl, -n 219
p218.pddl, -n 220
p219.pddl, -n 221
p220.pddl, -n 222
p221.pddl, -n 223
p222.pddl, -n 224
p223.pddl, -n 225
p224.pddl, -n 226
p225.pddl, -n 227
p226.pddl, -n 228
p227.pddl, -n 229
p228.pddl, -n 230
p229.pddl, -n 231
p230.pddl, -n 232
p231.pddl, -n 233
p232.pddl, -n 234
p233.pddl, -n 235
p234.pddl, -n 236
p235.pddl, -n 237
p236.pddl, -n 238
p237.pddl, -n 239
p238.pddl, -n 240
p239.pddl, -n 241
p240.pddl, -n 242
p241.pddl, -n 243
p242.pddl, -n 244
p243.pddl, -n 245
p244.pddl, -n 246
p245.pddl, -n 247
p246.pddl, -n 248
p247.pddl, -n 249
p248.pddl, -n 250
p249.pddl, -n 251
p250.pddl, -n 252
p251.pddl, -n 253
p252.pddl, -n 254
p253.pddl, -n 255
p254.pddl, -n 256
p255.pddl, -n 257
p256.pddl, -n 258
p257.pddl, -n 259
p258.pddl, -n 260
p259.pddl, -n 261
p260.pddl, -n 262
p261.pddl, -n 263
p262.pddl, -n 264
p263.pddl, -n 265
p264.pddl, -n 266
p265.pddl, -n 267
p266.pddl, -n 268
p267.pddl, -n 269
p268.pddl, -n 270
p269.pddl, -n 271
p270.pddl, -n 272
p271.pddl, -n 273
p272.pddl, -n 274
p273.pddl, -n 275
p274.pddl, -n 276
p275.pddl, -n 277
p276.pddl, -n 278
p277.pddl, -n 279
p278.pddl, -n 280
p279.pddl, -n 281
p280.pddl, -n 282
p281.pddl, -n 283
p282.pddl, -n 284
p283.pddl, -n 285
p284.pddl, -n 286
p285.pddl, -n 287
p286.pddl, -n 288
p287.pddl, -n 289
p288.pddl, -n 290
p289.pddl, -n 291
p290.pddl, -n 292
p291.pddl, -n 293
p292.pddl, -n 294
p293.pddl, -n 295
p294.pddl, -n 296
p295.pddl, -n 297
p296.pddl, -n 298
p297.pddl, -n 299
p298.pddl, -n 300
p299.pddl, -n 301
p300.pddl, -n 302
p301.pddl, -n 303
p302.pddl, -n 304
p303.pddl, -n 305
p304.pddl, -n 306
p305.pddl, -n 307
p306.pddl, -n 308
p307.pddl, -n 309
p308.pddl, -n 310
p309.pddl, -n 311
p310.pddl, -n 312
p311.pddl, -n 313
p312.pddl, -n 314
p313.pddl, -n 315
p314.pddl, -n 316
p315.pddl, -n 317
p316.pddl, -n 318
p317.pddl, -n 319
p318.pddl, -n 320
p319.pddl, -n 321
p320.pddl, -n 322
p321.pddl, -n 323
p322.pddl, -n 324
p323.pddl, -n 325
p324.pddl, -n 326
p325.pddl, -n 327
p326.pddl, -n 328
p327.pddl, -n 329
p328.pddl, -n 330
p329.pddl, -n 331
p330.pddl, -n 332
p331.pddl, -n 333
p332.pddl, -n 334
p333.pddl, -n 335
p334.pddl, -n 336
p335.pddl, -n 337
p336.pddl, -n 338
p337.pddl, -n 339
p338.pddl, -n 340
p339.pddl, -n 341
p340.pddl, -n 342
p341.pddl, -n 343
p342.pddl, -n 344
p343.pddl, -n 345
p344.pddl, -n 346
p345.pddl, -n 347
p346.pddl, -n 348
p347.pddl, -n 349
